Time (ms),ENC_POS_BHG2_Z_t=4680,DAC_BHG2_Z_t=4680,ENC_POS_BHG2_BF_VCM_t=4680,BHG2_ADC_PORT_BF_CAL_t=4680,GMP_OCA_PORT_20_t=4680,GMP_OCA_PORT_27_t=4680,GMP_OCA_PORT_28_t=4680
224.0,-5561.0,-423,964.9000000000001,1485.0,3,-423.131042,-423.131042
224.125,-5561.0,-423,964.9000000000001,1483.5,3,-423.131042,-423.131042
224.25,-5561.0,-423,964.9000000000001,1484.3999999999999,3,-423.131042,-423.131042
224.375,-5561.0,-423,964.9000000000001,1482.0,3,-423.131042,-423.131042
224.5,-5561.0,-423,964.9000000000001,1481.3999999999999,3,-423.131042,-423.131042
224.625,-5561.0,-423,964.9000000000001,1482.0,3,-423.131042,-423.131042
224.75,-5561.0,-423,964.9000000000001,1479.3,3,-423.131042,-423.131042
224.875,-5561.0,-423,964.8000000000001,1482.3,3,-423.131042,-423.131042
225.0,-5561.0,-423,964.8000000000001,1479.8999999999999,3,-423.131042,-423.131042
225.125,-5561.0,-423,964.8000000000001,1480.5,3,-423.131042,-423.131042
225.25,-5561.0,-423,964.8000000000001,1483.8,3,-423.131042,-423.131042
225.375,-5561.0,-423,964.8000000000001,1481.3999999999999,3,-423.131042,-423.131042
225.5,-5561.0,-423,964.8000000000001,1479.0,3,-423.131042,-423.131042
225.625,-5561.0,-423,964.8000000000001,1480.8,3,-423.131042,-423.131042
225.75,-5561.0,-423,964.8000000000001,1481.3999999999999,3,-423.131042,-423.131042
225.875,-5561.0,-423,964.8000000000001,1482.0,3,-423.131042,-423.131042
226.0,-5561.0,-423,964.8000000000001,1481.1,3,-423.131042,-423.131042
226.125,-5561.0,-423,964.8000000000001,1476.3,3,-423.131042,-423.131042
226.25,-5561.0,-423,964.8000000000001,1477.5,3,-423.131042,-423.131042
226.375,-5561.0,-423,964.8000000000001,1481.7,3,-423.131042,-423.131042
226.5,-5561.0,-423,964.8000000000001,1478.7,3,-423.131042,-423.131042
226.625,-5561.0,-423,964.8000000000001,1473.6,3,-423.131042,-423.131042
226.75,-5561.0,-423,964.8000000000001,1479.8999999999999,3,-423.131042,-423.131042
226.875,-5561.0,-423,964.7,1477.8,3,-423.131042,-423.131042
